# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
perceptibly	4	5	0.80	0.500	there is therefore a need for fragrance compositions, and more particularly microcapsule-free fragrance compositions that exhibit perceptibly different odour characteristics depending on assessment conditions
unambiguously	4	2	2.00	0.500	in the context of the present disclosure, the term “perceptibly different” as it relates to the odour characteristics of fragrance compositions assessed under different conditions, means that trained panellists are capable of differentiating unambiguously the odour of a given fragrance composition u
semantic	4	2	2.00	0.500	numerous examples of alternative semantic attributes suitable for odour definitions may be found, for example, in s
administered	4	3	1.33	0.500	completed by subjects administered two test odors—oriental and deepsleep—and a placebo
problems	4	3	1.33	0.500	table 2 subjective questions on sleep, after each odor 1 how did you find your sleep with the odor? 1 = convenient 10 = inconvenient 2 how was your sleep quality with the odor, compared to your 1 = better 10 = worse typical sleep quality? 3 was your insomnia worse or better with the odor? 1 = better
suggest	4	3	1.33	0.500	the results suggest that different odor mixtures may relate to specific behavioural alterations
believe	4	2	2.00	0.500	taking the findings together (hedonic and social brain areas as well as hypothalamus response) we believe that the odors may evoke a feeling of social comfort, trust and calmness
heat	4	3	1.33	0.500	the spray drying process of the present disclosure as a consequence of its low temperature, e.g., no heat, character, may be utilized for preparation of spray dried products that contain highly volatile components, e.g., volatile active ingredients whose boiling points are less than 100° c., and may
naphthalene	4	4	1.00	0.250	table 3 three perfumer-provided names for each of the mixtures 40 version i 40 version ii 40 version iii 40 version iv first thyme cherry candy vanilla butter cherry candy experiment vanilla-cinnamon vanilla butter animalistic vanilla butter coconut cinnamon urine cinnamon second oregano red fruit v
baby	4	6	0.67	0.500	the baby powder aroma (odorant) increased estimated duration of the 60-second interval by 34.3 seconds (p&lt;0.0001)
unmistakable	4	2	2.00	0.500	moreover, one of the components of rose alone, phenylethyl alcohol, contributes ˜70% of rose headspace (19), and indeed this component alone generates a poor-quality but unmistakable smell of rose
pressing	4	6	0.67	0.500	subjects were asked to decide if the smell of each jar was laurax, by pressing ‘yes’ or ‘no’
captures	4	2	2.00	0.500	the provided extract captures the scent of a plant or a fruit in such a way that is a true rendition of the original product&#39;s scent or flavor and thus is suitable for the recreation of odors
suggests	4	3	1.33	0.500	whereas the prior art suggests that certain odours can impact mood and emotion in human subjects and also influence sleep patterns, and whereas it is known that eeg is a technique that can measure brain activity in response to exposure to odours, to the applicant&#39;s best knowledge the prior art d
clogp	4	3	1.33	0.500	the spreadsheet is the current method of listing a fragrance composition, and the calculator enriches the data to add properties that are useful for a more intuitive display (any of odor threshold, vapor pressure, clogp, odor family, stability parameters and the like)
rosy-floral	4	3	1.33	0.500	the crude product (colourless oil, 29.7 g) was purified by a short path distillation over a 10 cm vigreux column at 73-82° c./0.02 mbar followed by a second fine distillation over a 15 cm widmer column at 81-82° c./0.02 mbar to yield the olfactorily pure product as a colorless oil (15.7 g, 53%) exhi
almondy	4	3	1.33	0.500	in the context of the present invention, it has been found, that the above compound exhibits aldehydic, milky, almondy and pistachio notes
correspondingly	4	4	1.00	0.250	in contrast to an artificial addition of pure 3-methylbutane-1-ol, which results in a correspondingly artificial olfactory impression due to the lack of further polar beer-typical flavoring substances, authentic flavoring substance concentrates can be obtained from brewery-specific ingredients and p
diversifying	4	2	2.00	0.750	prior art the perfumery industry is constantly on the lookout for new ingredients in order to support the creativity of perfumer by diversifying the notes present in their palette
velocity	4	1	4.00	1.000	in accordance with the present invention, “bloom” can be assessed by experimental velocity, odor performance (e.g., fragrance intensity 25 seconds after starting the lathering phase), and/or room filling capability (e.g., fragrance intensity in a closed booth 10 minutes after starting the lathering 
probe	4	1	4.00	1.000	though this approach it was also observed that the calculated intensity of the odor of the fragrance probe+accord was significantly higher than from the probe alone, thus validating the analytical measurement
breeze	4	3	1.33	0.500	the composition exhibited an odor of freshly laundered cotton or linen towels with a sea breeze fragrance
notice	4	5	0.80	0.500	this was confirmed by expert panelists who could notice the green note of 3-phenylbutanal in sample m
standing	4	3	1.33	0.500	in the case of the sample prepared in comparative example 8, it can be seen that after 14-day standing period, the initial aroma was changed to another type
dominated	4	5	0.80	0.500	the first impression of a fragrance composition is typically dominated by its headspace, i.e
nerol	4	4	1.00	0.500	the olfactory assessment of the nerol fraction by a perfumer revealed a nerol scent of good quality with a warm geraniol effect
documents	4	3	1.33	0.500	so far, α-hydroxyisobutyrate ester compounds have been reported, but no related documents have described scents specific to α-hydroxyisobutyrate esters
aldehyde-tone	4	2	2.00	0.500	table 1 structural formula aroma evaluation example 1 mint-like aroma chamomile-like herbal aroma green apple-like fruity aroma example 2 mint-like aroma lilac-like white floral aroma sweet coconut-like aroma example 3 mint-like aroma lilac-like floral-green aroma example 4 mint-like aroma floral ar
hedione	4	3	1.33	0.500	moreover, it is also noticeable that said compound blends particularly well with the floral notes of hedione®, watery notes of calone® and green notes of (z)-3-hexen-1-ol
reproduction	4	2	2.00	0.750	5, 115-120 (1990) summary of invention technical problem therefore, even if components which have conventionally been known to have rose aromas are combined, it is difficult to reproduce a fresh and rich aroma of rose, and a method of realizing the reproduction has been required
reproduces	4	13	0.31	0.500	the inventors have indeed observed that the scent of these solid ingredients faithfully reproduces the scent of the fresh plant material and that this scent persists for a very long time without alteration
recognizing	4	4	1.00	0.250	by using a mems sensor such as a field asymmetric mass analyzer (field asymmetric waveform ion mobility spectrometry (faims) or differential ion mobility spectrometry (dims)) together with the olp 100 , it is possible to provide the system 1 that is capable of recording, generating, and recognizing 
transfer	4	4	1.00	0.250	in addition, it is possible to transfer odors in real time via a communication medium or communication infrastructure such as a wireless connection or the internet
program	4	3	1.33	0.500	within the same java main executable program, retrieve the computed odor detection threshold value for the given perfume raw material by calling the getodtmodelresult( )method on the odtneuralnetworks instance created in step 2e
outside	4	6	0.67	0.250	on the other hand, the compression engine 160 of the olp 100 may be configured so as to exclude information relating to chemical substances that are outside the human odor space
senses	4	6	0.67	0.250	this means that it is possible to provide a robot that is capable of recognizing things (objects, people) and recognizing the peripheral state using a plurality of senses that include odors
television	4	6	0.67	0.500	for example, music or television programs can include scents, smells, odors, aromas and/or tastes as part of their output
maritime	4	3	1.33	0.500	the note was reminiscent of that shown by maritime pines
sensor	4	4	1.00	0.500	the fragrance has a vapor pressure that results in at least a portion of the fragrance vaporizing into the surrounding environment such that its presence can be detected, either by a living being that smells the scent of the fragrance, or by a sensor that detects the fragrance molecule
mole	4	3	1.33	0.500	the fragrance has a vapor pressure that results in at least a portion of the fragrance vaporizing into the surrounding environment such that its presence can be detected, either by a living being that smells the scent of the fragrance, or by a sensor that detects the fragrance molecule
aerosols	4	3	1.33	0.500	the particles thus produced can be carriers for a variety of active agents, for example food substances, food acids, starches, carbohydrates, beverages, pharmaceuticals, biocides, pesticides, benefit agents and personal care products, including but not limited to anhydrous products such as antipersp
loaded	4	4	1.00	0.500	example 16—preparation of scent booster composition containing particles loaded with fragrance scent booster compositions are prepared incorporating whey protein particles loaded with fragrance as prepared above
